countrycode,year,ctfp,rtfpna,rwtfpna
AUS,2012,0.908781349658966,0.959026873111725,0.978375554084778
AUS,2013,0.842362225055695,0.965567171573639,0.967615365982056
AUS,2014,0.837970674037933,0.970684289932251,0.962989687919617
AUS,2015,0.816249191761017,0.981469571590424,0.96135288476944
AUS,2016,0.846972525119782,0.983357310295105,0.964243888854981
AUS,2017,0.866683840751648,0.991528213024139,0.978846848011017
AUS,2018,0.874863684177399,0.986533045768738,0.966440260410309
AUS,2019,0.848566651344299,0.96304589509964,0.933393478393555
AUS,2020,0.856350362300873,0.981769025325775,0.966276943683624
AUS,2021,0.858133256435394,1.0,1.0
AUS,2022,0.877721846103668,1.00551331043243,1.01406824588776
AUS,2023,0.846968114376068,1.00107288360596,1.01399946212769
AUT,2012,0.86839497089386,1.02321875095367,1.00884819030762
AUT,2013,0.837715744972229,1.01338672637939,0.998575270175934
AUT,2014,0.859169781208038,1.00937795639038,0.991236090660095
AUT,2015,0.867447853088379,1.01672267913818,1.00078749656677
AUT,2016,0.867824137210846,1.01506304740906,1.00208055973053
AUT,2017,0.867948532104492,1.01973009109497,1.00592768192291
AUT,2018,0.870059967041016,1.02002668380737,1.00408315658569
AUT,2019,0.899388074874878,1.01509654521942,0.986547410488129
AUT,2020,0.888662934303284,0.996166050434113,0.975510001182556
AUT,2021,0.880548596382141,1.0,1.0
AUT,2022,0.917000830173492,1.02490365505219,1.00987482070923
AUT,2023,0.892035782337189,1.00125813484192,0.95873087644577
BEL,2012,0.925726234912872,1.010373711586,1.02442967891693
BEL,2013,0.906607449054718,1.00736439228058,1.01878869533539
BEL,2014,0.91189169883728,1.01438879966736,1.02660405635834
BEL,2015,0.915801405906677,1.0154812335968,1.03188467025757
BEL,2016,0.926135778427124,1.00793397426605,1.03660547733307
BEL,2017,0.899227261543274,1.0015641450882,1.02874135971069
BEL,2018,0.869722306728363,0.998752653598785,1.03253853321075
BEL,2019,0.900100409984589,1.00136947631836,1.02304971218109
BEL,2020,0.908985912799835,0.993591070175171,1.00847923755646
BEL,2021,0.911163151264191,1.0,1.0
BEL,2022,0.914893209934235,1.00572609901428,1.00612604618073
BEL,2023,0.916127026081085,1.00189697742462,1.00411820411682
BRA,2012,0.5906001329422,1.17986083030701,1.19789886474609
BRA,2013,0.573736011981964,1.16381084918976,1.18843674659729
BRA,2014,0.55952775478363,1.12862420082092,1.15379703044891
BRA,2015,0.520325481891632,1.07513856887817,1.08281135559082
BRA,2016,0.501447200775147,1.03783988952637,1.03268802165985
BRA,2017,0.501046538352966,1.04225409030914,1.03119659423828
BRA,2018,0.502371609210968,1.03375899791718,1.02966630458832
BRA,2019,0.498758375644684,1.01136755943298,1.01701128482819
BRA,2020,0.518980503082275,1.04424893856049,1.04278433322907
BRA,2021,0.50136125087738,1.0,1.0
BRA,2022,0.499757349491119,0.969752252101898,0.971360623836517
BRA,2023,0.496801674365997,0.976752758026123,0.968941807746887
CAN,2012,0.856394410133362,0.976195514202118,0.98706179857254
CAN,2013,0.824137032032013,0.981455147266388,0.990781605243683
CAN,2014,0.856982469558716,0.997773766517639,0.996096789836884
CAN,2015,0.832989811897278,0.987293541431427,0.977770149707794
